kind	item	evidence	classification	source_site	owner_brand	binding_ref	strict_ancestor	overlap	decision
role	GenericLoopCarrierRoleV1::NumericProgression	facts_types.rs:10-18; v0.rs:100-106	derived semantic enum	0	0	0	0	Generic/DirectAccum/A+ partition unresolved	retain as observation only
role	GenericLoopCarrierRoleV1::BodyManagedState	facts_types.rs:10-18; v1.rs:289-315	derived semantic enum	0	0	0	0	Generic/DirectAccum/A+ partition unresolved	retain as observation only
step	NumericProgression.placement	facts_types.rs:20-31; v1.rs:318-369	derived StepPlacement/index	0	0	0	0	physical step owner is downstream	Recipe producer must revalidate later
step	NumericProgression.canonical_body_len	facts_types.rs:25-29; v1.rs:369	derived scalar	0	0	0	0	no source totality	never source identity
step	BodyManagedState	facts_types.rs:25-31; v1.rs:289-315	derived step disposition	0	0	0	0	body-managed policy overlap unresolved	no key/plan authority
observation	CompleteNoRecursiveCarrier	facts_types.rs:46-56; collection.rs:36-40	derived structural observation	0	0	0	0	Natural V0/V1 overlap remains unresolved	pre-effect evidence only
observation	CompleteRecursiveCarrier(Vec<String>)	facts_types.rs:51-55; collection.rs:40-42	name-only carrier labels	0	0	0	0	NestedPredicate/DirectAccum/A+ overlap unresolved	labels cannot become provenance
observation	Unavailable(String)	facts_types.rs:51-55; collection.rs:43-45	name-only reject reason	0	0	0	0	unsupported containers are explicit stops	typed reject only
observation	Ambiguous(String)	facts_types.rs:51-55; collection.rs:45-47	name-only reject reason	0	0	0	0	ambiguous assignment/index rows remain stops	typed reject only
v0_field	carrier_role	facts_types.rs:58-66; v0.rs:100-106	derived semantic enum	0	0	0	0	V0 is legacy observation, not winner	no neutral promotion
v0_field	loop_var	facts_types.rs:60-65; v0.rs:49-52	name-only candidate	0	0	0	0	candidate identity is not BindingRef	must be projected from resolver
v0_field	condition	facts_types.rs:60-65; v0.rs:102-105	AST-bearing expression	0	0	0	0	condition source span is not canonical site	retain only in legacy facts
v0_field	loop_increment	facts_types.rs:60-65; v0.rs:50-52,104	AST-bearing expression	0	0	0	0	step canon has no source owner	retain only in legacy facts
v0_field	body	facts_types.rs:60-65; v0.rs:30,105	AST-bearing RecipeBody	0	0	0	0	body copy is not source forest	P1 must reuse source projector
v1_field	carrier_role	facts_types.rs:68-80; v1.rs:205-216	derived semantic enum	0	0	0	0	winner/disjointness not proven	no selector input
v1_field	loop_var	facts_types.rs:70-75; v1.rs:96-110,205-210	name-only candidate	0	0	0	0	candidate identity is not BindingRef	must be projected from resolver
v1_field	condition	facts_types.rs:70-75; v1.rs:86-93,208	AST-bearing expression	0	0	0	0	condition source span is not canonical site	no neutral snapshot
v1_field	loop_increment	facts_types.rs:70-75; v1.rs:110-145,209	AST-bearing expression	0	0	0	0	step canon has no source owner	no neutral snapshot
v1_field	body	facts_types.rs:70-75; v1.rs:151-160,210	AST-bearing RecipeBody	0	0	0	0	flat body copy is not source forest	no neutral snapshot
v1_field	carrier_observation	facts_types.rs:76; v1.rs:211; collection.rs:36-47	derived structural + String labels	0	0	0	0	NestedPredicate/DirectAccum/A+ overlap unresolved	observation only
v1_field	body_lowering_policy	facts_types.rs:77; v1.rs:76-82,151-177	derived policy/environment	0	0	0	0	policy is not source identity	selector/policy owner later
v1_field	body_exit_allowed	facts_types.rs:78; v1.rs:161-171	AST-bearing recipe product	0	0	0	0	recipe coverage is downstream	no source authority
v1_field	body_no_exit	facts_types.rs:79; v1.rs:173-178	AST-bearing recipe product	0	0	0	0	recipe coverage is downstream	no source authority
