row_id	artifact	path	kind	production_reach	classification	retire_row	evidence	note
# JOINIR-LOOP-LEGACY-DISPOSITION-R2A frozen disposition manifest (2026-09-25).
# M12-R2A classification of the legacy `11/1/1/4/2` first-mutation profile
# surface, family receipts, and route wrappers after M10b-I0-R0/M11-A/B.
# Columns: kind = producer|receipt|wrapper|schedule|facts|physical|oracle|test;
# production_reach = live|test-only|caller-zero|cfg-test-only|oracle-only;
# classification = semantic-input|migration-evidence|duplicate-facade|decision-required;
# retire_row = R2B|R2C|retain|decide. '-' = not applicable.
# Section D rows are grouped retained clusters; per-symbol verification is the
# executing row's job.
#
# ===== Section A: duplicate facades / caller-zero migration rows (R2B) =====
A01	VerifiedGenericResidualPolicyDemandV1/demand issuers	src/mir/loop_route_policy/generic_residual.rs	receipt	caller-zero	migration-evidence	R2B	rg:issue_generic_residual_policy_demand_v1 -> only generic_residual_producer_tests.rs	S6E/S7B5 landed caller-zero cohort; family_selector has no residual arm -> unreachable
A02	GenericResidual producer	src/mir/loop_recipe_contract/generic_residual_producer.rs	producer	caller-zero	migration-evidence	R2B	rg:produce_generic_residual -> only wire_parity_tests/m8e_tests.rs + own tests	doc header self-declares caller-zero
A03	GenericResidual projection	src/mir/compiler/generic_residual_projection.rs	wrapper	caller-zero	migration-evidence	R2B	rg:issue_generic_residual_source_projection_v1 -> no production caller	companion of A01/A02
A04	GenericResidual typed map	src/mir/compiler/generic_residual_typed_map.rs + generic_residual_typed_map_issue.rs	wrapper	caller-zero	migration-evidence	R2B	rg:issue_generic_residual_typed_source_map_v1 -> no production caller	companion of A01/A02
A05	GenericResidual structural facts	src/mir/loop_structural_facts/generic_residual_source.rs	facts	caller-zero	migration-evidence	R2B	rg:generic_residual_source -> mod.rs re-export only	A01-A05 form one sealed residual chain; retire together
A06	LoopRecipeProducerIdV1::GenericResidualV1	src/mir/loop_recipe_contract/producer_id.rs	receipt	caller-zero	migration-evidence	R2B	variant only attested by all_route_observation.rs:103	ATTESTED_RECIPE_BACKED_V1 row for GenericLoopV1 is the migration claim A01-A05 embody
A07	VariableAccumBreak producer	src/mir/loop_recipe_contract/variable_accum_break_producer.rs	producer	caller-zero	decision-required	decide	rg:produce_variable_accum_break -> only wire_parity_tests/m8b_tests.rs + variable_accum_break_projection_tests.rs	S6B landed caller-zero cohort; ATTESTED_RECIPE_BACKED_V1 claims it covers LoopBreakRecipe while production LoopBreak lowers via loop_break_source -> attestation-vs-owner mismatch needs D0
A08	VariableAccumBreak projection	src/mir/compiler/variable_accum_break_projection.rs	wrapper	caller-zero	decision-required	decide	rg:variable_accum_break_projection -> tests only	companion of A07
A09	VariableAccumBreak facts	src/mir/loop_structural_facts/variable_accum_break.rs	facts	caller-zero	decision-required	decide	rg:VerifiedVariableAccumBreakFactsV1 -> producer + tests only	companion of A07
A10	LoopRecipeProducerIdV1::VariableAccumBreakV1	src/mir/loop_recipe_contract/producer_id.rs	receipt	caller-zero	decision-required	decide	paired with A07	paired with A07 decision
# ===== Section B: oracle-only route-local physical/PHI wrapper chain (R2B) =====
# RecipeComposer::compose_* has exactly one caller: loop_accum_legacy_oracle_support.rs,
# itself #[path]-included only from loop_accum_semantic_parity_tests.rs (#[cfg(test)]).
B01	RecipeComposer route composers	src/mir/builder/control_flow/plan/recipe_tree/{accum_const_loop,bool_predicate_scan,if_phi_join,loop_break,loop_cond,loop_continue_only,loop_simple_while,loop_true,loop_true_early_exit,scan_with_init,split_scan}_composer.rs	wrapper	oracle-only	duplicate-facade	R2B	rg:compose_* -> loop_accum_legacy_oracle_support.rs only	11 composer files; loop_cond_composer also hosts char_map/array_join compose methods
B02	loop_accum legacy oracle + parity tests	src/mir/builder/control_flow/plan/loop_accum_legacy_oracle_support.rs + loop_accum_semantic_parity_tests.rs + loop_accum_physical_parity_tests.rs + loop_accum_physical_digest_test_support.rs	oracle	test-only	migration-evidence	R2B	#[path] include chain from plan test module	parity oracle for the DirectAccum physical lane; retirement removes the old-side comparator
B03	loop_cond_co pipeline chain	src/mir/builder/control_flow/plan/features/loop_cond_co_{pipeline,block,continue_if,group_if,helpers,stmt,phi_materializer,verifier,cleanup}.rs	wrapper	oracle-only	duplicate-facade	R2B	rg:loop_cond_co_* -> only each other + loop_cond_composer + dead normalizer delegator	LoopCondContinueOnly physical wrapper family
B04	loop_cond_continue_with_return chain	src/mir/builder/control_flow/plan/features/loop_cond_continue_with_return_{pipeline,body_helpers,cleanup,phi_materializer,verifier}.rs	wrapper	oracle-only	duplicate-facade	R2B	rg -> loop_cond_composer only	LoopCondContinueWithReturn physical wrapper family
