kind	case	role	source_site	owner_brand	binding_ref	strict_ancestor	pre_effect	reason_or_evidence	decision
admitted	natural-both	NestedWrite	Body(0)>LoopBody(0)>LoopBody(0)>Target	resolver-issued FunctionOwnerIdV1 (session-local)	resolver-issued BindingRefV1(owner, binding(j); diagnostic=j)	true	true	provenance_product_tests::generic_d3_s2_s2_natural_source_seals_opaque_provenance	retain as source observation only
admitted	natural-both	PostLoopRead	Body(1)>Value	resolver-issued FunctionOwnerIdV1 (same session)	resolver-issued BindingRefV1(owner, binding(j); same relation)	false	true	provenance_product_tests::generic_d3_s2_s2_natural_source_seals_opaque_provenance	retain as source observation only
admitted	parsed-nested-if	NestedWrite	Body(0)>LoopBody(0)>LoopBody(0)>IfThen(0)>Body(0)>Target	resolver-issued FunctionOwnerIdV1 (session-local)	resolver-issued BindingRefV1(owner, binding(j); diagnostic=j)	true	true	projector_tests::generic_resolved_projector_co_seals_parsed_nested_if	corroborating source projector only
admitted	parsed-nested-if	PostLoopRead	Body(1)>Value	resolver-issued FunctionOwnerIdV1 (same session)	resolver-issued BindingRefV1(owner, binding(j); same relation)	false	true	projector_tests::generic_resolved_projector_co_seals_parsed_nested_if	corroborating source projector only
reject	shadowing	NestedWrite	Body(0)>LoopBody(0)>LoopBody(1)>Target	resolver-issued FunctionOwnerIdV1	resolver-issued BindingRefV1(owner, binding(inner-j))	false	true	provenance_product_tests::generic_d3_s2_s2_shadowing_rejects_strict_ancestor_relation	BindingRelation reject; no Builder effect
reject	foreign-owner	NestedWrite	Body(0)>LoopBody(0)>LoopBody(0)>Target	foreign FunctionOwnerIdV1	foreign BindingRefV1(owner, binding(j))	unknown	true	provenance_observation_tests::generic_d3_s2_s0_foreign_owner_rejects_before_observation	ForeignBindingOwner reject; no Builder effect
reject	mixed-session	NestedWrite	Body(0)>LoopBody(0)>LoopBody(0)>Target	forest/frame owner differs from handoff owner	foreign BindingRefV1(owner, binding(j))	unknown	true	provenance_product_tests::generic_d3_s2_s2_mixed_session_brand_rejects_before_effects	MixedOwnerBrand reject; no Builder effect
reject	incomplete-forest	outer-loop-site	Body(0)	resolver-issued FunctionOwnerIdV1	resolver-issued BindingRefV1(owner, binding(j))	true	true	provenance_observation_tests::generic_d3_s2_s0_forest_and_frame_mismatches_reject	ForestShape reject; no Builder effect
reject	duplicate-role	NestedWrite+NestedWrite	Body(0)>LoopBody(0)>LoopBody(0)>Target	resolver-issued FunctionOwnerIdV1	resolver-issued BindingRefV1(owner, binding(j))	true	true	provenance_product_tests::generic_d3_s2_s2_duplicate_role_rejects_before_effects	DuplicateRole reject; no Builder effect
reject	unsupported-role	Unknown	Body(0)>LoopBody(0)>LoopBody(0)>Target	resolver-issued FunctionOwnerIdV1	resolver-issued BindingRefV1(owner, binding(j))	true	true	provenance_product_tests::generic_d3_s2_s2_unknown_role_rejects_before_effects	UnsupportedRole reject; no Builder effect
reject	frame-mismatch	NestedWrite	Body(0)>LoopBody(0)>LoopBody(0)>Target	resolver-issued FunctionOwnerIdV1	resolver-issued BindingRefV1(owner, binding(j))	true	true	provenance_observation_tests::generic_d3_s2_s0_forest_and_frame_mismatches_reject	FrameMismatch reject; no Builder effect
reject	foreign-root	outer-loop-site	Body(0)	resolver-issued owner A vs root owner B	resolver-issued BindingRefV1(owner, binding(j))	unknown	true	projector_tests::generic_resolved_projector_rejects_foreign_located_root	ForeignOwner reject; no Builder effect
